dataset,dataset_size,model,architecture,optimizer,learning_rate,batch_size,param_count,param_count_log10,learning_rate_log10,batch_size_log10,gradient_norm_log10,ntk_trace_proxy_log10,initial_loss_log10,T_conv,patience_P,min_delta,max_epochs,val_loss_prefix
TinyImageNet,100000,asmlp,MLP,AdamW,0.001,256,2032200,6.307966447,-3,2.408239965,0.406870577,0.813741174,0.726662236,20,5,0.0001,250,"[4.7292930603027346, 4.420625185966491, 4.221204400062561, 4.047514021396637, 3.981226807832718, 3.902056300640106, 3.8334047138690948, 3.7988037705421447, 3.712732607126236, 3.694048637151718, 3.630458062887192, 3.611734414100647, 3.6327493607997896, 3.5421692073345183, 3.519341367483139, 3.5333400130271913, 3.5368407666683197, 3.545801717042923, 3.56099191904068, 3.6535524010658262]"
TinyImageNet,100000,asmlp,MLP,SGD,0.001,256,2032200,6.307966447,-3,2.408239965,0.360551374,0.721102717,0.729024647,91,5,0.0001,250,"[5.114423263072967, 5.014677131175995, 4.955108654499054, 4.897477507591248, 4.840144002437592, 4.78484605550766, 4.7382619142532345, 4.68701046705246, 4.63942289352417, 4.595197761058808, 4.54822210073471, 4.500999271869659, 4.452528154850006, 4.3989727854728695, 4.349963241815567, 4.315895146131515, 4.253778779506684, 4.211877822875977, 4.173582851886749, 4.160529559850692]"
TinyImageNet,100000,asmlp,MLP,AdamW,0.002,64,2032200,6.307966447,-2.698970004,1.806179974,0.405192746,0.81038547,0.730214232,10,5,0.0001,250,"[5.092909472763159, 5.146064348281569, 5.06246088720431, 5.0730166404869905, 5.050577479562942, 5.068873353824494, 5.155437229545253, 5.080047139696255, 5.074571788690652, 5.089473851926767]"
TinyImageNet,100000,asmlp,MLP,SGD,0.002,64,2032200,6.307966447,-2.698970004,1.806179974,0.332309153,0.664618343,0.722958453,45,5,0.0001,250,"[4.818829706520032, 4.575341252005025, 4.389032940955678, 4.212225182041241, 4.1036525319336326, 4.014879519772378, 3.9438951987369806, 3.8715415243889875, 3.859985230075326, 3.774191554184932, 3.709691342274854, 3.678596835227529, 3.610674223322777, 3.6295332240450913, 3.5830891967579057, 3.527111815798814, 3.51101546378652, 3.4543305992320845, 3.430121420295375, 3.4009720064272546]"
TinyImageNet,100000,asmlp,MLP,AdamW,0.002,128,2032200,6.307966447,-2.698970004,2.10720997,0.409277795,0.818555625,0.724050063,12,5,0.0001,250,"[5.060075560702553, 5.0835760575306566, 5.104666613325288, 5.046020948434178, 5.045234124871749, 5.050996309594263, 5.012407459790194, 5.037558054622216, 5.0860154417496695, 5.034410114529766, 5.01517329034926, 5.01977371867699]"
TinyImageNet,100000,asmlp,MLP,SGD,0.002,128,2032200,6.307966447,-2.698970004,2.10720997,0.363547688,0.727095376,0.72842983,51,5,0.0001,250,"[4.9315082453474215, 4.766703684118729, 4.604583547085146, 4.466604401793661, 4.406286324126811, 4.218677689757528, 4.160966861097118, 4.0726418676255625, 4.043983377987826, 3.9312003232255766, 3.8970719862587844, 3.8863007901590083, 3.8058387116540837, 3.7604470132272456, 3.7009074446521226, 3.666333433947986, 3.6529797843739957, 3.625601904301704, 3.6069314328930044, 3.547266591953326]"
TinyImageNet,100000,asmlp,MLP,AdamW,0.002,256,2032200,6.307966447,-2.698970004,2.408239965,0.391102016,0.782204041,0.72704347,38,5,0.0001,250,"[4.929389417171478, 4.8370280981063845, 4.7544224858284, 4.699811446666717, 4.6776062726974486, 4.6468878865242, 4.589897537231446, 4.586201703548431, 4.5817494750022885, 4.534992361068726, 4.544449782371521, 4.505956947803497, 4.491768205165863, 4.486539852619171, 4.485412621498108, 4.4600694417953495, 4.4644406855106356, 4.438994038105011, 4.446203768253326, 4.437945973873139]"
TinyImageNet,100000,asmlp,MLP,SGD,0.002,256,2032200,6.307966447,-2.698970004,2.408239965,0.326668908,0.653337854,0.727684192,66,5,0.0001,250,"[5.022535192966461, 4.914213824272156, 4.8136487126350405, 4.720549809932709, 4.615666663646698, 4.531877660751343, 4.440552747249603, 4.361681723594666, 4.277808439731598, 4.213087171316147, 4.1711062550544735, 4.1081081330776215, 4.085077852010727, 4.0362088739871975, 4.025699031352997, 3.964599347114563, 3.928140699863434, 3.869622939825058, 3.8504172921180726, 3.798755133152008]"
STL10,5000,asmlp,MLP,AdamW,0.0005,64,2007690,6.302696656,-3.301029995,1.806179974,0.420327777,0.840655582,0.361348197,24,5,0.0001,250,"[1.9038219526410103, 1.7232353687286377, 1.9274664968252182, 1.7968754991889, 1.6819887682795525, 1.7369727864861488, 1.7222655713558197, 1.602000504732132, 1.596140444278717, 1.5607784390449524, 1.723473645746708, 1.5639860853552818, 1.5121858641505241, 1.525360807776451, 1.5560115799307823, 1.581020787358284, 1.5418681427836418, 1.4436009675264359, 1.3870865032076836, 1.5378652811050415]"
STL10,5000,asmlp,MLP,SGD,0.0005,64,2007690,6.302696656,-3.301029995,1.806179974,0.418300563,0.836601099,0.365174864,83,5,0.0001,250,"[2.097948372364044, 2.0339282378554344, 2.006933353841305, 1.9823102951049805, 1.9606028497219086, 1.9194024056196213, 1.8858369961380959, 1.8364811092615128, 1.7982702255249023, 1.7627611011266708, 1.7333290800452232, 1.7080576494336128, 1.6941433101892471, 1.6686783134937286, 1.6480390653014183, 1.6723951771855354, 1.6314528435468674, 1.623961091041565, 1.6379534602165222, 1.6065912246704102]"
