dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,T_star,converged,censored_reason,logInitLoss,logFinalLoss,cnn_family,depth_signature,downsample_type
MNIST,0.0005,32,0.1,10.408194495293941,3.4657359027997265,0.4111421109705001,0.5265889076514012,-7.600902459542082,11.002099841204238,39,True,,0.8142156255184048,-1.530997206695931,mobilenetv2_mini,tiny_cfg,stride2_dw
MNIST,0.0005,32,0.1,13.453992476373477,3.4657359027997265,0.2838842509970507,0.39135351810474633,-7.600902459542082,11.002099841204238,10,True,,0.8439707521714327,-1.5926006445560728,resnet_mini,"[2, 2, 2]",proj_block
MNIST,0.0005,32,0.1,11.552549942753446,3.4657359027997265,0.12133435131895817,0.22620728549590427,-7.600902459542082,11.002099841204238,36,True,,0.8128735045219492,-1.5229063661106348,vgg_lite,"[2, 1, 1]",pool
MNIST,0.0005,32,0.1,11.856756275043766,3.4657359027997265,0.06820251158926793,0.17305866006314793,-7.600902459542082,11.002099841204238,31,True,,0.8443398582721008,-1.474584695955693,vgg_lite,"[2, 2, 1]",pool
MNIST,0.0005,32,0.1,10.408194495293941,3.4657359027997265,0.4278020729149689,0.5525983123591858,-7.600902459542082,11.002099841204238,42,True,,0.8681366187383043,-1.464018143764418,mobilenetv2_mini,tiny_cfg,stride2_dw
MNIST,0.0005,32,0.1,11.130815490059645,3.4657359027997265,0.47876012004060275,0.579513237718611,-7.600902459542082,11.002099841204238,21,True,,0.8325764011093129,-1.5544201478288378,mobilenetv2_mini,tiny_cfg,stride2_dw
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.37331704559297796,0.46453206481108605,-7.600902459542082,11.002099841204238,42,True,,0.8995837605100945,-1.4263150166775047,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,13.453992476373477,3.4657359027997265,0.27399338285584424,0.38292106331925163,-7.600902459542082,11.002099841204238,11,True,,0.9205105033882869,-1.5729733898634815,resnet_mini,"[2, 2, 2]",proj_block
MNIST,0.0005,32,0.1,11.552549942753446,3.4657359027997265,0.11825005811962604,0.21813816681475806,-7.600902459542082,11.002099841204238,39,True,,0.8277107354958487,-1.5521438302413222,vgg_lite,"[2, 1, 1]",pool
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.46191339662407965,0.5646412684599631,-7.600902459542082,11.002099841204238,40,True,,0.826437011088903,-1.518359533116034,vgg_lite,"[1, 1, 1]",pool
