dataset,architecture,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,T_star,converged,censored_reason,logInitLoss,logFinalLoss
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.2761331257777275,7.140860884665262,-7.600902459542082,11.002099841204238,29,True,,1.0193318655843548,-1.3183433650773717
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.534226119211371,7.574923178536808,-7.600902459542082,11.002099841204238,36,True,,0.9805612942357145,-1.330176735463682
MNIST,ViT-Tiny-32/4,0.0005,32,0.1,14.40692286449944,3.4657359027997265,8.339705679154743,8.421798542254681,-7.600902459542082,11.002099841204238,37,True,,1.0461293394784406,-1.5895836624200688
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.466844881753494,7.496741922897763,-7.600902459542082,11.002099841204238,31,True,,1.1042126066754627,-1.3424144171966916
MNIST,ViT-Tiny-32/4,0.0005,32,0.1,14.40692286449944,3.4657359027997265,9.051872032431492,8.934312697303511,-7.600902459542082,11.002099841204238,33,True,,1.1594582132346762,-1.6130117631377965
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.3702373018908025,7.434823261779745,-7.600902459542082,11.002099841204238,29,True,,0.9495730523302299,-1.5157310329411395
MNIST,ViT-Tiny-32/4,0.0005,32,0.1,14.40692286449944,3.4657359027997265,9.02386556185056,9.004712120197455,-7.600902459542082,11.002099841204238,32,True,,1.2860435626390467,-1.3530530216206258
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.477883940273929,7.477792412189984,-7.600902459542082,11.002099841204238,27,True,,1.0008028013028296,-1.307792694142821
MNIST,CCT-Small,0.0005,32,0.1,13.3693390736518,3.4657359027997265,7.833781943316837,7.886914375374567,-7.600902459542082,11.002099841204238,29,True,,1.0632958650309368,-1.376907432776312
MNIST,PiT-XS,0.0005,32,0.1,13.56509087213907,3.4657359027997265,7.071539230507992,7.063056702329456,-7.600902459542082,11.002099841204238,26,True,,1.0163651123187007,-1.525144824577544
MNIST,ViT-Tiny-32/4,0.0005,32,0.1,14.40692286449944,3.4657359027997265,8.918886737397193,8.7087443061479,-7.600902459542082,11.002099841204238,37,True,,1.4701513781222646,-0.9094204239585697
