dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,T_star,converged,censored_reason,logInitLoss,logFinalLoss
MNIST,0.0005,32,0.1,11.685146179584754,3.4657359027997265,6.349874018251033,6.302812319760366,-7.600902459542082,11.002099841204238,21,True,,1.028271085991273,-1.4080541242489897
MNIST,0.0005,32,0.1,11.685146179584754,3.4657359027997265,6.199162806283731,6.112670430552529,-7.600902459542082,11.002099841204238,26,True,,0.9503053066424665,-1.4555717745695291
MNIST,0.0005,32,0.1,13.417647481056212,3.4657359027997265,6.2071556253380065,6.2536740164197795,-7.600902459542082,11.002099841204238,6,True,,1.0012345926099424,-1.9599756280506764
MNIST,0.0005,32,0.15,13.748765871699728,3.4657359027997265,5.462315000064064,5.504899809174662,-7.600902459542082,11.002099841204238,5,True,,0.9354718566102328,-1.4264565984150124
MNIST,0.0005,32,0.15,13.417647481056212,3.4657359027997265,6.296998926477754,6.377614688897433,-7.600902459542082,11.002099841204238,5,True,,1.0172533731174676,-1.4078486762209685
MNIST,0.0005,32,0.15,12.726799093973426,3.4657359027997265,5.380048429190109,5.465746168858259,-7.600902459542082,11.002099841204238,10,True,,1.0777837589941104,-1.0412920762088598
MNIST,0.0005,32,0.15,13.748765871699728,3.4657359027997265,5.553723748780211,5.613499162160957,-7.600902459542082,11.002099841204238,5,True,,1.0566934209960925,-1.1813614280434994
MNIST,0.0005,32,0.15,13.748765871699728,3.4657359027997265,5.616202773022526,5.657141034679767,-7.600902459542082,11.002099841204238,5,True,,1.0413534534904387,-0.9385477527991933
MNIST,0.0005,32,0.15,13.417647481056212,3.4657359027997265,6.43701102214593,6.4454216548338685,-7.600902459542082,11.002099841204238,5,True,,1.1239549872422845,-1.079328170357784
MNIST,0.0005,32,0.15,13.417647481056212,3.4657359027997265,6.390876500044642,6.413293182324071,-7.600902459542082,11.002099841204238,5,True,,1.069341956727035,-1.252418244851688
MNIST,0.0005,32,0.15,13.748765871699728,3.4657359027997265,5.581864383059114,5.659690678616252,-7.600902459542082,11.002099841204238,5,True,,0.968071411475666,-1.2533123612843966
MNIST,0.0005,32,0.15,13.748765871699728,3.4657359027997265,5.661954535876767,5.721607280648449,-7.600902459542082,11.002099841204238,5,True,,1.010972416237409,-0.9821266940304483
MNIST,0.0005,32,0.15,11.81718437922679,3.4657359027997265,5.184239673864874,5.294591361261824,-7.600902459542082,11.002099841204238,29,True,,0.9929622909593679,-1.130813992583465
MNIST,0.0005,32,0.15,12.507457899065408,3.4657359027997265,6.271795189738325,6.2942150968224295,-7.600902459542082,11.002099841204238,9,True,,0.9431781067942988,-1.0969179131848206
MNIST,0.0005,32,0.15,12.507457899065408,3.4657359027997265,6.328111977086754,6.288975789255896,-7.600902459542082,11.002099841204238,8,True,,1.0286018570736775,-0.9252233583427438
MNIST,0.0005,32,0.15,13.748765871699728,3.4657359027997265,5.501122872081981,5.589577638632766,-7.600902459542082,11.002099841204238,5,True,,1.0679003222714796,-0.8751515240681441
MNIST,0.0005,32,0.15,13.417647481056212,3.4657359027997265,6.412644753878578,6.527146398494039,-7.600902459542082,11.002099841204238,5,True,,0.9899585818587329,-1.3014570508681353
MNIST,0.0005,32,0.15,13.417647481056212,3.4657359027997265,6.5641352596679985,6.604209264902243,-7.600902459542082,11.002099841204238,5,True,,1.005743750530087,-1.4188414496475286
MNIST,0.0005,32,0.15,13.748765871699728,3.4657359027997265,5.715429969416396,5.8329165406523655,-7.600902459542082,11.002099841204238,5,True,,0.9267460426676649,-1.3221448955664334
MNIST,0.0005,32,0.15,13.417647481056212,3.4657359027997265,6.346918655263792,6.402570699214694,-7.600902459542082,11.002099841204238,5,True,,0.9040607163480474,-1.4700114138755607
MNIST,0.0005,32,0.15,11.81718437922679,3.4657359027997265,5.173714642690658,5.139471569817145,-7.600902459542082,11.002099841204238,26,True,,1.034685373132053,-1.0536251579801454
MNIST,0.0005,32,0.15,11.685146179584754,3.4657359027997265,6.165280634925009,6.165667923049326,-7.600902459542082,11.002099841204238,19,True,,1.0026899884839173,-0.9446167121544541
