dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,logInitLoss,logFinalLoss,T_star,converged
MNIST,0.0005,50,0.1,14.29154223,3.465735903,4.991437179,8.558034364,-7.60090246,11.00209984,0.832122634,-1.505813816,21,TRUE
MNIST,0.0005,50,0.1,13.04455318,3.465735903,1.535690529,5.082459478,-7.60090246,11.00209984,0.835080499,-1.550421075,37,TRUE
MNIST,0.0005,50,0.1,12.24695544,3.465735903,0.188702482,3.752971611,-7.60090246,11.00209984,0.837267316,-1.559783744,63,TRUE
MNIST,0.0005,50,0.1,16.37384687,3.465735903,3.599354685,7.171678974,-7.60090246,11.00209984,0.832419499,-1.578969106,13,TRUE
MNIST,0.0005,50,0.1,13.16108012,3.465735903,0.274483448,3.848998619,-7.60090246,11.00209984,0.835138317,-1.808174712,27,TRUE
MNIST,0.0005,50,0.1,14.31044701,3.465735903,2.296275956,5.841269697,-7.60090246,11.00209984,0.837818612,-1.59072624,34,TRUE
MNIST,0.0005,50,0.1,12.35694653,3.465735903,0.563647179,4.150040585,-7.60090246,11.00209984,0.832378325,-1.548353291,36,TRUE
MNIST,0.0005,50,0.1,12.94459942,3.465735903,0.921623197,4.512192099,-7.60090246,11.00209984,0.833353291,-1.641158186,28,TRUE
MNIST,0.0005,50,0.1,15.11298518,3.465735903,1.614648621,5.180188005,-7.60090246,11.00209984,0.836335933,-1.80234861,16,TRUE
MNIST,0.0005,50,0.1,11.70051645,3.465735903,0.406876362,3.978920015,-7.60090246,11.00209984,0.832367123,-1.475365823,71,TRUE
MNIST,0.0005,50,0.1,15.05986628,3.465735903,1.310646877,4.887877675,-7.60090246,11.00209984,0.833163556,-1.528068314,12,TRUE
MNIST,0.0005,50,0.1,13.48368152,3.465735903,0.9987687,4.548995854,-7.60090246,11.00209984,0.838118019,-1.659204311,21,TRUE
MNIST,0.0005,50,0.1,13.63102266,3.465735903,1.980170197,5.568502057,-7.60090246,11.00209984,0.832931182,-1.506171301,30,TRUE
MNIST,0.0005,50,0.1,13.02907635,3.465735903,0.742915293,4.341707565,-7.60090246,11.00209984,0.83503271,-1.818814326,22,TRUE
MNIST,0.0005,50,0.1,17.06664298,3.465735903,1.384759252,4.993291881,-7.60090246,11.00209984,0.829409116,-2.042458426,14,TRUE
MNIST,0.0005,50,0.1,12.60181733,3.465735903,1.138247234,4.705331683,-7.60090246,11.00209984,0.833523929,-1.517791049,32,TRUE
MNIST,0.0005,50,0.1,12.10475948,3.465735903,0.354091826,3.933515296,-7.60090246,11.00209984,0.835175137,-1.578230707,53,TRUE
MNIST,0.0005,50,0.1,13.1411184,3.465735903,0.618764468,4.204982736,-7.60090246,11.00209984,0.834036083,-1.5536375,47,TRUE
MNIST,0.0005,50,0.1,13.08528852,3.465735903,0.632283044,4.202363982,-7.60090246,11.00209984,0.837449258,-1.508605471,26,TRUE
MNIST,0.0005,50,0.1,13.61361222,3.465735903,2.390159283,5.957178375,-7.60090246,11.00209984,0.838768609,-1.543003433,21,TRUE
MNIST,0.0005,50,0.1,12.4142325,3.465735903,0.29503008,3.869758589,-7.60090246,11.00209984,0.831076577,-1.572636814,54,TRUE
MNIST,0.0005,50,0.1,15.68112656,3.465735903,3.529581486,7.055248432,-7.60090246,11.00209984,0.829653749,-1.509976099,16,TRUE
MNIST,0.0005,50,0.1,14.28967178,3.465735903,4.560349014,8.10658402,-7.60090246,11.00209984,0.835849969,-1.491305019,37,TRUE
MNIST,0.0005,50,0.1,12.34015763,3.465735903,1.932436986,5.527952586,-7.60090246,11.00209984,0.841863286,-1.615198558,24,TRUE
MNIST,0.0005,50,0.1,16.37134605,3.465735903,4.63427548,8.230702121,-7.60090246,11.00209984,0.833525276,-1.56533523,13,TRUE
MNIST,0.0005,50,0.1,13.68661526,3.465735903,0.908804399,4.465953916,-7.60090246,11.00209984,0.833622341,-1.6277059,23,TRUE
MNIST,0.0005,50,0.1,13.5969689,3.465735903,4.482181996,7.990855839,-7.60090246,11.00209984,0.836557706,-1.516812396,35,TRUE
MNIST,0.0005,50,0.1,13.80731103,3.465735903,0.312760781,3.881245549,-7.60090246,11.00209984,0.834365918,-1.472897714,20,TRUE
MNIST,0.0005,50,0.1,12.32051678,3.465735903,0.374632261,3.940108546,-7.60090246,11.00209984,0.841145931,-1.477986886,44,TRUE
MNIST,0.0005,50,0.1,14.29473777,3.465735903,2.614476089,6.161543359,-7.60090246,11.00209984,0.832562091,-1.545696035,36,TRUE
MNIST,0.0005,50,0.1,13.15716279,3.465735903,0.420970439,4.008555722,-7.60090246,11.00209984,0.832626588,-1.582488623,30,TRUE
MNIST,0.0005,50,0.1,13.65732341,3.465735903,0.831694735,4.390446859,-7.60090246,11.00209984,0.831241893,-1.63934398,24,TRUE
MNIST,0.0005,50,0.1,12.4594505,3.465735903,0.548541951,4.12075914,-7.60090246,11.00209984,0.833333397,-1.756017926,31,TRUE
MNIST,0.0005,50,0.1,11.7114648,3.465735903,0.742141726,4.328500028,-7.60090246,11.00209984,0.835479473,-1.623759546,56,TRUE
MNIST,0.0005,50,0.1,12.51200467,3.465735903,0.554764568,4.136606605,-7.60090246,11.00209984,0.832794136,-1.507310313,38,TRUE
MNIST,0.0005,50,0.1,16.37012314,3.465735903,3.941437589,7.546122419,-7.60090246,11.00209984,0.832682683,-1.618737682,12,TRUE
MNIST,0.0005,50,0.1,11.88240409,3.465735903,1.248096149,4.82110406,-7.60090246,11.00209984,0.835439562,-1.604978253,54,TRUE
MNIST,0.0005,50,0.1,12.82180408,3.465735903,0.186942044,3.758375981,-7.60090246,11.00209984,0.831576491,-1.495046523,31,TRUE
MNIST,0.0005,50,0.1,11.91653552,3.465735903,0.630362904,4.192357556,-7.60090246,11.00209984,0.83433414,-1.616825848,49,TRUE
MNIST,0.0005,50,0.1,15.69647342,3.465735903,2.06797702,5.648549629,-7.60090246,11.00209984,0.831665131,-1.692349514,19,TRUE
MNIST,0.0005,50,0.1,12.94249481,3.465735903,0.965479152,4.53738836,-7.60090246,11.00209984,0.837434398,-1.555596223,28,TRUE
MNIST,0.0005,50,0.1,12.9155901,3.465735903,2.258334192,5.812998691,-7.60090246,11.00209984,0.831302322,-1.488216138,52,TRUE
MNIST,0.0005,50,0.1,16.37069749,3.465735903,4.282718101,7.825934542,-7.60090246,11.00209984,0.833413904,-1.713728892,11,TRUE
MNIST,0.0005,50,0.1,13.02583926,3.465735903,2.235998111,5.779117295,-7.60090246,11.00209984,0.834058862,-1.689318053,22,TRUE
MNIST,0.0005,50,0.1,15.01123806,3.465735903,1.29519577,4.879648349,-7.60090246,11.00209984,0.831977177,-1.513655483,22,TRUE
MNIST,0.0005,50,0.1,12.21520086,3.465735903,3.436606068,7.048340105,-7.60090246,11.00209984,0.831183745,-1.511490124,46,TRUE
MNIST,0.0005,50,0.1,12.92537965,3.465735903,1.484009868,5.027314815,-7.60090246,11.00209984,0.83700131,-1.511005001,50,TRUE
MNIST,0.0005,50,0.1,12.52307806,3.465735903,0.993492192,4.561184867,-7.60090246,11.00209984,0.835418985,-1.521821673,31,TRUE
MNIST,0.0005,50,0.1,15.006795,3.465735903,1.346757653,4.924396915,-7.60090246,11.00209984,0.832209254,-1.672312148,16,TRUE
MNIST,0.0005,50,0.1,14.99971138,3.465735903,0.644255173,4.204587959,-7.60090246,11.00209984,0.833431828,-1.640019072,18,TRUE
MNIST,0.0005,50,0.1,14.55873184,3.465735903,0.755324981,4.316815623,-7.60090246,11.00209984,0.833357643,-1.725645195,23,TRUE
MNIST,0.0005,50,0.1,15.69175976,3.465735903,1.597656476,5.163372387,-7.60090246,11.00209984,0.834767557,-1.648719746,16,TRUE
MNIST,0.0005,50,0.1,14.983015,3.465735903,5.285774307,8.818833578,-7.60090246,11.00209984,0.840364064,-1.514034813,24,TRUE
MNIST,0.0005,50,0.1,14.9828756,3.465735903,4.549611538,8.122576949,-7.60090246,11.00209984,0.831492619,-1.596728445,13,TRUE
MNIST,0.0005,50,0.1,13.85940686,3.465735903,0.285796686,3.849873992,-7.60090246,11.00209984,0.83241981,-1.604219294,23,TRUE
MNIST,0.0005,50,0.1,13.68444697,3.465735903,0.497595418,4.065582477,-7.60090246,11.00209984,0.831746706,-1.698349181,25,TRUE
MNIST,0.0005,50,0.1,13.68937801,3.465735903,0.256744633,3.815992224,-7.60090246,11.00209984,0.843253163,-1.534669649,24,TRUE
MNIST,0.0005,50,0.1,13.06400943,3.465735903,0.74401942,4.32049224,-7.60090246,11.00209984,0.834937644,-1.504359262,28,TRUE
MNIST,0.0005,50,0.1,14.31142191,3.465735903,2.712204818,6.283554122,-7.60090246,11.00209984,0.840578773,-1.53438878,29,TRUE
MNIST,0.0005,50,0.1,13.84120365,3.465735903,0.266652081,3.836661365,-7.60090246,11.00209984,0.82880289,-1.823738399,27,TRUE
MNIST,0.0005,50,0.1,11.94643366,3.465735903,2.241132951,5.870316522,-7.60090246,11.00209984,0.832970571,-1.600748301,31,TRUE
MNIST,0.0005,50,0.1,12.48313604,3.465735903,0.162538663,3.734742907,-7.60090246,11.00209984,0.836610895,-1.655107989,43,TRUE
MNIST,0.0005,50,0.1,14.29392497,3.465735903,2.053920671,5.621463425,-7.60090246,11.00209984,0.835918491,-1.603341973,28,TRUE
MNIST,0.0005,50,0.15,14.29001031,3.465735903,4.442814795,8.020260243,-7.60090246,11.00209984,0.843929538,-1.08967,27,TRUE
MNIST,0.0005,50,0.15,11.71565404,3.465735903,0.310993441,3.889953089,-7.60090246,11.00209984,0.841191063,-1.148687768,64,TRUE
MNIST,0.0005,50,0.15,12.95335283,3.465735903,1.784343646,5.358679142,-7.60090246,11.00209984,0.83335153,-1.201428105,23,TRUE
MNIST,0.0005,50,0.15,11.16504035,3.465735903,1.671822368,5.241869179,-7.60090246,11.00209984,0.842142279,-1.158559411,37,TRUE
MNIST,0.0005,50,0.15,15.00636712,3.465735903,2.302042321,5.850455382,-7.60090246,11.00209984,0.830880384,-1.259219009,13,TRUE
MNIST,0.0005,50,0.15,11.55699977,3.465735903,1.129982928,4.702933843,-7.60090246,11.00209984,0.835916838,-1.06552718,58,TRUE
MNIST,0.0005,50,0.15,12.96360677,3.465735903,0.323230071,3.903712644,-7.60090246,11.00209984,0.840653144,-1.1549505,45,TRUE
MNIST,0.0005,50,0.15,11.97596742,3.465735903,0.230671612,3.820418566,-7.60090246,11.00209984,0.83539148,-1.290247393,57,TRUE
MNIST,0.0005,50,0.15,14.98291543,3.465735903,5.317062868,8.868224799,-7.60090246,11.00209984,0.835751466,-1.196718631,10,TRUE
MNIST,0.0005,50,0.15,15.75912464,3.465735903,2.103729095,5.661362314,-7.60090246,11.00209984,0.837432747,-1.401269421,14,TRUE
MNIST,0.0005,50,0.15,14.9828756,3.465735903,4.531657813,8.109005287,-7.60090246,11.00209984,0.836859246,-1.075306134,12,TRUE
MNIST,0.0005,50,0.15,14.31829716,3.465735903,0.930728123,4.502707977,-7.60090246,11.00209984,0.834995264,-1.077802314,23,TRUE
MNIST,0.0005,50,0.15,11.78479823,3.465735903,0.617225532,4.171682678,-7.60090246,11.00209984,0.835447523,-1.159431919,31,TRUE
MNIST,0.0005,50,0.15,12.94875733,3.465735903,0.897451844,4.486450059,-7.60090246,11.00209984,0.829891565,-1.213621372,33,TRUE
MNIST,0.0005,50,0.15,14.98357241,3.465735903,4.599579386,8.153130409,-7.60090246,11.00209984,0.829602685,-1.149979477,11,TRUE
MNIST,0.0005,50,0.15,14.42008551,3.465735903,2.443151592,6.051703866,-7.60090246,11.00209984,0.834687367,-1.337870452,19,TRUE
MNIST,0.0005,50,0.15,12.44115267,3.465735903,2.2846789,5.823259758,-7.60090246,11.00209984,0.836977668,-1.216241437,30,TRUE
MNIST,0.0005,50,0.15,13.67690345,3.465735903,0.274387249,3.850119511,-7.60090246,11.00209984,0.837027945,-1.215755513,25,TRUE
MNIST,0.0005,50,0.15,15.68599895,3.465735903,3.057895476,6.606761131,-7.60090246,11.00209984,0.839337412,-1.257204617,16,TRUE
MNIST,0.0005,50,0.15,14.38166606,3.465735903,0.314571616,3.892230061,-7.60090246,11.00209984,0.831864387,-1.100959172,28,TRUE
MNIST,0.0005,50,0.15,15.69834489,3.465735903,4.685452178,8.272465419,-7.60090246,11.00209984,0.827009533,-1.573220112,9,TRUE
MNIST,0.0005,50,0.15,15.67596148,3.465735903,5.174428837,8.771599346,-7.60090246,11.00209984,0.82605894,-1.218532066,15,TRUE
MNIST,0.0005,50,0.15,15.0285206,3.465735903,3.407367483,7.033655457,-7.60090246,11.00209984,0.834822911,-1.280349783,10,TRUE
MNIST,0.0005,50,0.15,12.90729216,3.465735903,2.281184118,5.860339821,-7.60090246,11.00209984,0.827199606,-1.133044841,34,TRUE
MNIST,0.0005,50,0.15,14.2899904,3.465735903,4.485964825,8.010897074,-7.60090246,11.00209984,0.830617764,-1.103404762,17,TRUE
MNIST,0.0005,50,0.15,14.02309205,3.465735903,0.276349305,3.849466258,-7.60090246,11.00209984,0.834161777,-1.070189425,24,TRUE
MNIST,0.0005,50,0.15,14.986067,3.465735903,2.548856785,6.12721633,-7.60090246,11.00209984,0.831362644,-1.252642247,17,TRUE
MNIST,0.0005,50,0.15,12.73168244,3.465735903,0.538586683,4.108316238,-7.60090246,11.00209984,0.833440427,-1.069035517,44,TRUE
MNIST,0.0005,50,0.15,14.35153247,3.465735903,3.695157217,7.275873009,-7.60090246,11.00209984,0.831013538,-1.10760868,15,TRUE
