dataset,transformer,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,logInitLoss,logFinalLoss,T_star,converged
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.381949633,9.922865473,-7.60090246,6.907755279,0.862158288,0.264816014,36,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.4068328,9.958356025,-7.60090246,6.907755279,0.85624639,0.228224387,13,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.478076374,10.03533881,-7.60090246,6.907755279,0.869775357,0.234630044,34,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.386239663,9.970052259,-7.60090246,6.907755279,0.831046148,0.191681185,14,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.329480841,9.953027125,-7.60090246,6.907755279,0.841936637,0.244900963,17,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.443451253,9.996723561,-7.60090246,6.907755279,0.871930951,0.200644935,25,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.306917874,9.884837478,-7.60090246,6.907755279,0.825482323,0.268347836,16,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.399208437,9.947346381,-7.60090246,6.907755279,0.840156101,-0.004596889,29,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.451787219,10.00157177,-7.60090246,6.907755279,0.893485996,0.377359161,14,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.451214748,9.995200967,-7.60090246,6.907755279,0.868554233,0.247101239,12,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.384801944,9.950536624,-7.60090246,6.907755279,0.868251395,0.296944904,10,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.394844636,9.936088757,-7.60090246,6.907755279,0.844384027,0.297944679,28,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.444199171,10.02160585,-7.60090246,6.907755279,0.840487319,0.246598227,20,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.47231418,10.00395223,-7.60090246,6.907755279,0.878608881,0.26076426,22,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.368780315,9.89713854,-7.60090246,6.907755279,0.878115592,0.318347868,18,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.469510292,10.02190937,-7.60090246,6.907755279,0.881834021,0.339894391,11,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.393559273,9.929911391,-7.60090246,6.907755279,0.86288367,0.248612014,10,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.341696257,9.907564968,-7.60090246,6.907755279,0.862598933,0.341902588,70,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.446409722,10.06240052,-7.60090246,6.907755279,0.829366569,0.298359011,41,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.384306515,9.905391746,-7.60090246,6.907755279,0.877184812,0.11117699,24,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.365200285,9.910299188,-7.60090246,6.907755279,0.878219123,0.291381438,15,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.471983011,9.98139975,-7.60090246,6.907755279,0.871128498,0.318288905,17,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.310940926,9.889705648,-7.60090246,6.907755279,0.871916994,0.316993718,26,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.408800177,9.951476622,-7.60090246,6.907755279,0.847825852,0.307052308,13,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.447023872,10.02041751,-7.60090246,6.907755279,0.849776893,0.307427734,7,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.388615802,9.963064074,-7.60090246,6.907755279,0.836800184,0.226728179,20,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.394181033,9.934635996,-7.60090246,6.907755279,0.816372306,0.189128276,11,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.354271494,9.970693193,-7.60090246,6.907755279,0.856635086,0.233579043,11,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.371181692,9.908882287,-7.60090246,6.907755279,0.877668053,0.252700891,30,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.497849376,10.02590285,-7.60090246,6.907755279,0.836236962,0.292998745,13,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.340886964,9.945507138,-7.60090246,6.907755279,0.851595236,0.162121079,27,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.409334799,9.990931745,-7.60090246,6.907755279,0.862938193,0.256016494,20,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.411646343,9.971661489,-7.60090246,6.907755279,0.859023077,0.275932956,9,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.474782162,10.00099961,-7.60090246,6.907755279,0.84781758,0.138179644,20,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.391083788,9.978442165,-7.60090246,6.907755279,0.836353495,0.285933473,25,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.431805064,10.00629074,-7.60090246,6.907755279,0.873413286,0.20243042,25,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.415849623,9.958525614,-7.60090246,6.907755279,0.828025267,0.266602843,47,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.414058084,9.972452836,-7.60090246,6.907755279,0.875173293,0.352080798,11,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.482015751,9.992413466,-7.60090246,6.907755279,0.866398457,0.161069946,15,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.462240926,10.04471299,-7.60090246,6.907755279,0.865218264,0.301196854,17,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.317952851,9.928500206,-7.60090246,6.907755279,0.849577607,0.277725062,17,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.33635007,9.870023294,-7.60090246,6.907755279,0.884953346,0.285258922,12,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.539518328,10.03588775,-7.60090246,6.907755279,0.819742011,0.180431536,20,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.536804654,10.02954073,-7.60090246,6.907755279,0.88920261,0.231739541,77,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.509620186,10.00944556,-7.60090246,6.907755279,0.903469132,0.335240285,73,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.6,15.5250374,3.465735903,6.365645753,9.909936978,-7.60090246,6.907755279,0.84895003,0.284581136,16,TRUE
