dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,logInitLoss,logFinalLoss,T_star,converged
MNIST,0.0005,50,0.1,12.311414161007498,3.4657359027997265,0.5846178498632459,4.156480861925474,-7.600902459542082,11.002099841204238,0.8325889480950526,-1.5013568407553064,75,True
MNIST,0.0005,50,0.1,13.619215829532697,3.4657359027997265,0.24521385174832605,3.8140505104297646,-7.600902459542082,11.002099841204238,0.8343679885270917,-1.5723437132298768,69,True
MNIST,0.0005,50,0.1,13.619215829532697,3.4657359027997265,0.24869709194683748,3.820008033425457,-7.600902459542082,11.002099841204238,0.833523618654955,-1.5272284628741646,77,True
MNIST,0.0005,50,0.1,11.727343055584136,3.4657359027997265,0.5302827601188319,4.10042205231501,-7.600902459542082,11.002099841204238,0.8301033367182705,-1.483916844540192,146,True
MNIST,0.0005,50,0.1,13.619215829532697,3.4657359027997265,0.2608571210894718,3.831655880633841,-7.600902459542082,11.002099841204238,0.8352573574514514,-1.4810430380682709,78,True
MNIST,0.0005,50,0.1,13.332575679339131,3.4657359027997265,0.8815748003004771,4.454101789241161,-7.600902459542082,11.002099841204238,0.8332055265912498,-1.4915372241302745,69,True
MNIST,0.0005,50,0.1,11.3167402502371,3.4657359027997265,0.23997169658709525,3.798854167955759,-7.600902459542082,11.002099841204238,0.8436685803205067,-1.5010951339022618,144,True
MNIST,0.0005,50,0.1,10.529051581772277,3.4657359027997265,0.5566719325181219,4.125483893958463,-7.600902459542082,11.002099841204238,0.8360874522911866,-1.4675593779342704,213,True
MNIST,0.0005,50,0.1,11.90999543229001,3.4657359027997265,0.22520312974664786,3.7940503699874313,-7.600902459542082,11.002099841204238,0.8409902641948461,-1.4939867044752089,128,True
MNIST,0.0005,50,0.1,13.769351429582695,3.4657359027997265,0.22854602527076995,3.8020586951527746,-7.600902459542082,11.002099841204238,0.8354435943392091,-1.5230453585170487,102,True
MNIST,0.0005,50,0.1,14.848647353340136,3.4657359027997265,1.0270457418975372,4.600870814863862,-7.600902459542082,11.002099841204238,0.8343882761118876,-1.4976236084949222,45,True
MNIST,0.0005,50,0.1,12.46884451922143,3.4657359027997265,0.9195332904254468,4.482197949598012,-7.600902459542082,11.002099841204238,0.8367227380010434,-1.4967243243853545,85,True
MNIST,0.0005,50,0.1,14.302338117885062,3.4657359027997265,0.860249988540729,4.426825283270808,-7.600902459542082,11.002099841204238,0.8357362708483123,-1.5220359504732204,64,True
MNIST,0.0005,50,0.1,12.948871523794839,3.4657359027997265,0.8451906515970827,4.414292500216463,-7.600902459542082,11.002099841204238,0.8330946368449762,-1.4756376961571185,95,True
MNIST,0.0005,50,0.1,12.46884451922143,3.4657359027997265,0.954823434418195,4.535927686342141,-7.600902459542082,11.002099841204238,0.837624873035863,-1.5224974960499564,85,True
MNIST,0.0005,50,0.1,13.235023982452548,3.4657359027997265,0.22196333882189184,3.789312960849199,-7.600902459542082,11.002099841204238,0.8367226347353537,-1.5206382054939878,81,True
MNIST,0.0005,50,0.1,11.13631016996612,3.4657359027997265,0.8951173919541802,4.470329588208917,-7.600902459542082,11.002099841204238,0.8395931181046414,-1.4696213374156293,119,True
MNIST,0.0005,50,0.1,13.827164387534301,3.4657359027997265,0.9171124078225565,4.491582559840687,-7.600902459542082,11.002099841204238,0.8299513480628603,-1.5361408879210203,57,True
