dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,logInitLoss,logFinalLoss,T_star,converged
MNIST,0.0005,50,0.1,11.53047064,3.465735903,2.781337685,6.352866353,-7.60090246,11.00209984,0.835410817,-1.499645019,63,TRUE
MNIST,0.0005,50,0.1,11.45268702,3.465735903,0.803132352,4.393648451,-7.60090246,11.00209984,0.829563163,-1.484340348,54,TRUE
MNIST,0.0005,50,0.1,12.22356869,3.465735903,2.948985021,6.522172038,-7.60090246,11.00209984,0.82541611,-1.487248847,47,TRUE
MNIST,0.0005,50,0.1,11.53047064,3.465735903,2.807984227,6.366921758,-7.60090246,11.00209984,0.83303898,-1.479557959,62,TRUE
MNIST,0.0005,50,0.1,11.53047064,3.465735903,2.758775412,6.298857103,-7.60090246,11.00209984,0.848253973,-1.466704996,64,TRUE
MNIST,0.0005,50,0.1,12.36796188,3.465735903,1.414610345,4.970276289,-7.60090246,11.00209984,0.837237591,-1.529230838,44,TRUE
MNIST,0.0005,50,0.1,12.36796188,3.465735903,1.261637018,4.852759097,-7.60090246,11.00209984,0.834153909,-1.541939701,45,TRUE
MNIST,0.0005,50,0.1,11.92239587,3.465735903,0.412893922,3.990949899,-7.60090246,11.00209984,0.839543383,-1.498133011,51,TRUE
MNIST,0.0005,50,0.1,12.33278459,3.465735903,0.611633286,4.190955401,-7.60090246,11.00209984,0.833840574,-1.492219254,52,TRUE
MNIST,0.0005,50,0.1,11.68136782,3.465735903,0.762797218,4.328631781,-7.60090246,11.00209984,0.829695244,-1.488973511,63,TRUE
MNIST,0.0005,50,0.1,11.68082688,3.465735903,1.492063189,5.082662962,-7.60090246,11.00209984,0.841087224,-1.526925252,50,TRUE
MNIST,0.0005,50,0.1,11.53047064,3.465735903,2.688959683,6.284783178,-7.60090246,11.00209984,0.823770978,-1.525219679,59,TRUE
MNIST,0.0005,50,0.1,10.83742172,3.465735903,2.902214627,6.463217797,-7.60090246,11.00209984,0.829738088,-1.496947072,84,TRUE
MNIST,0.0005,50,0.1,11.75936358,3.465735903,0.914194366,4.499201648,-7.60090246,11.00209984,0.833359197,-1.499202908,53,TRUE
MNIST,0.0005,50,0.1,12.50366297,3.465735903,1.455833405,5.013222209,-7.60090246,11.00209984,0.831094439,-1.51289563,36,TRUE
MNIST,0.0005,50,0.1,10.83742172,3.465735903,2.680341781,6.227681181,-7.60090246,11.00209984,0.835673938,-1.485858691,85,TRUE
MNIST,0.0005,50,0.1,11.74322733,3.465735903,0.455648586,4.028802879,-7.60090246,11.00209984,0.839210409,-1.507505354,58,TRUE
MNIST,0.0005,50,0.1,11.92239587,3.465735903,0.54862413,4.14729543,-7.60090246,11.00209984,0.831493034,-1.588444578,50,TRUE
MNIST,0.0005,50,0.1,11.82095413,3.465735903,1.607070178,5.175006983,-7.60090246,11.00209984,0.830571321,-1.541165851,48,TRUE
MNIST,0.0005,50,0.1,12.29251636,3.465735903,1.415650233,4.972130001,-7.60090246,11.00209984,0.828440915,-1.546453811,47,TRUE
MNIST,0.0005,50,0.1,11.81482105,3.465735903,0.693524846,4.272905916,-7.60090246,11.00209984,0.835059915,-1.495154913,48,TRUE
MNIST,0.0005,50,0.1,12.50366297,3.465735903,1.665551168,5.239049533,-7.60090246,11.00209984,0.83377978,-1.590891515,37,TRUE
MNIST,0.0005,50,0.1,11.53047064,3.465735903,2.771555515,6.382341023,-7.60090246,11.00209984,0.815498251,-1.515368555,57,TRUE
